,bh_ratio,alive,dead,transient
0,0.0,127,157,305
1,0.05,141,145,305
2,0.1,151,141,281
3,0.15000000000000002,173,123,278
4,0.2,199,104,261
5,0.25,211,117,235
6,0.30000000000000004,230,111,235
7,0.35000000000000003,217,121,198
8,0.4,242,83,221
9,0.45,256,105,193
10,0.5,270,88,181
11,0.55,287,79,172
12,0.6000000000000001,336,64,131
13,0.65,354,66,119
14,0.7000000000000001,364,53,112
15,0.75,366,64,99
16,0.8,388,44,89
17,0.8500000000000001,417,35,75
18,0.9,419,35,54
19,0.9500000000000001,443,20,53
20,1.0,470,11,25
21,0.0,114,170,294
22,0.05,135,131,306
23,0.1,150,149,271
24,0.15000000000000002,183,126,265
25,0.2,180,129,251
26,0.25,185,139,231
27,0.30000000000000004,218,117,219
28,0.35000000000000003,240,111,198
29,0.4,269,93,196
30,0.45,280,91,163
31,0.5,305,91,143
32,0.55,313,71,161
33,0.6000000000000001,310,78,149
34,0.65,361,57,113
35,0.7000000000000001,375,55,99
36,0.75,388,52,82
37,0.8,386,50,84
38,0.8500000000000001,407,45,58
39,0.9,432,23,55
40,0.9500000000000001,440,26,43
41,1.0,470,8,24
42,0.0,116,137,337
43,0.05,139,140,305
44,0.1,147,134,289
45,0.15000000000000002,181,125,275
46,0.2,186,125,252
47,0.25,197,138,224
48,0.30000000000000004,239,119,215
49,0.35000000000000003,243,99,207
50,0.4,239,109,194
51,0.45,278,100,172
52,0.5,304,74,163
53,0.55,312,74,157
54,0.6000000000000001,344,62,136
55,0.65,329,72,124
56,0.7000000000000001,375,62,95
57,0.75,369,54,97
58,0.8,410,38,75
59,0.8500000000000001,412,29,75
60,0.9,437,19,56
61,0.9500000000000001,441,18,53
62,1.0,467,15,28
63,0.0,132,141,312
64,0.05,121,154,288
65,0.1,155,146,274
66,0.15000000000000002,172,128,271
67,0.2,186,118,267
68,0.25,202,116,246
69,0.30000000000000004,209,124,223
70,0.35000000000000003,228,115,204
71,0.4,262,103,184
72,0.45,271,86,193
73,0.5,298,81,167
74,0.55,311,79,147
75,0.6000000000000001,320,70,152
76,0.65,349,62,125
77,0.7000000000000001,346,68,117
78,0.75,386,54,77
79,0.8,412,35,70
80,0.8500000000000001,418,33,67
81,0.9,428,33,55
82,0.9500000000000001,438,24,56
83,1.0,460,18,32
84,0.0,120,130,338
85,0.05,128,156,294
86,0.1,171,135,286
87,0.15000000000000002,162,131,279
88,0.2,195,139,232
89,0.25,203,126,233
90,0.30000000000000004,235,96,232
91,0.35000000000000003,228,107,218
92,0.4,256,92,208
93,0.45,288,83,180
94,0.5,277,94,160
95,0.55,301,83,161
96,0.6000000000000001,312,70,156
97,0.65,342,64,128
98,0.7000000000000001,362,44,116
99,0.75,354,64,103
100,0.8,383,37,100
101,0.8500000000000001,415,36,64
102,0.9,428,33,55
103,0.9500000000000001,433,26,59
104,1.0,474,9,23
105,0.0,93,162,309
106,0.05,145,136,300
107,0.1,148,122,301
108,0.15000000000000002,172,123,280
109,0.2,189,126,256
110,0.25,213,128,229
111,0.30000000000000004,231,114,220
112,0.35000000000000003,233,102,214
113,0.4,256,112,171
114,0.45,266,100,189
115,0.5,301,79,177
116,0.55,284,77,178
117,0.6000000000000001,329,66,125
118,0.65,350,60,123
119,0.7000000000000001,350,55,118
120,0.75,362,60,98
121,0.8,391,47,88
122,0.8500000000000001,410,35,72
123,0.9,426,29,59
124,0.9500000000000001,455,21,34
125,1.0,463,14,30
126,0.0,107,167,295
127,0.05,149,137,300
128,0.1,157,143,275
129,0.15000000000000002,164,142,265
130,0.2,175,128,262
131,0.25,198,128,229
132,0.30000000000000004,216,119,216
133,0.35000000000000003,233,99,222
134,0.4,281,81,190
135,0.45,284,83,197
136,0.5,302,83,159
137,0.55,302,72,164
138,0.6000000000000001,345,68,115
139,0.65,344,63,123
140,0.7000000000000001,362,51,117
141,0.75,394,34,95
142,0.8,395,48,75
143,0.8500000000000001,421,31,64
144,0.9,434,31,54
145,0.9500000000000001,440,27,45
146,1.0,470,14,25
147,0.0,108,154,308
148,0.05,137,160,283
149,0.1,135,135,293
150,0.15000000000000002,150,146,261
151,0.2,202,108,264
152,0.25,223,112,221
153,0.30000000000000004,220,110,224
154,0.35000000000000003,236,107,200
155,0.4,272,99,181
156,0.45,287,87,177
157,0.5,292,88,171
158,0.55,296,82,157
159,0.6000000000000001,327,68,143
160,0.65,356,66,108
161,0.7000000000000001,366,56,103
162,0.75,374,51,98
163,0.8,404,34,85
164,0.8500000000000001,419,38,65
