READ SERR 1
@71.pco
!
0.100062184 6.21847212E-5 1.55371753E-3
0.100186631 6.22620573E-5 1.55372114E-3
0.100311235 6.23394953E-5 1.55372487E-3
0.100435987 6.24170207E-5 1.55372859E-3
0.100560904 6.24946479E-5 1.5537322E-3
0.100685969 6.25723769E-5 1.55373593E-3
0.100811191 6.26501933E-5 1.55373965E-3
0.100936569 6.27281115E-5 1.55374338E-3
0.101062104 6.28061316E-5 1.5537471E-3
0.101187795 6.2884239E-5 1.55375083E-3
0.101313643 6.29624483E-5 1.55375456E-3
0.10143964 6.30407521E-5 1.5537584E-3
0.101565801 6.31191579E-5 1.55376212E-3
0.101692118 6.31976582E-5 1.55376585E-3
0.101818591 6.32762603E-5 1.55376969E-3
0.101945229 6.33549571E-5 1.55377353E-3
0.102072015 6.34337484E-5 1.55377726E-3
0.102198958 6.35126416E-5 1.5537811E-3
0.102326065 6.35916294E-5 1.55378494E-3
0.102453329 6.36707191E-5 1.55378878E-3
0.102580748 6.37499033E-5 1.55379262E-3
0.102708325 6.38291895E-5 1.55379646E-3
0.102836065 6.39085774E-5 1.55380031E-3
0.102963962 6.398806E-5 1.55380415E-3
0.103092015 6.40676371E-5 1.55380811E-3
0.103220232 6.41473234E-5 1.55381195E-3
0.103348605 6.4227097E-5 1.55381591E-3
0.103477143 6.43069798E-5 1.55381975E-3
0.103605837 6.43869571E-5 1.55382371E-3
0.103734687 6.44670363E-5 1.55382766E-3
0.103863701 6.45472101E-5 1.55383162E-3
0.103992879 6.4627493E-5 1.55383546E-3
0.104122214 6.47078632E-5 1.55383942E-3
0.104251713 6.47883426E-5 1.5538435E-3
0.104381368 6.48689165E-5 1.55384745E-3
0.104511186 6.49495996E-5 1.55385141E-3
0.104641162 6.50303773E-5 1.55385537E-3
0.104771309 6.51112496E-5 1.55385945E-3
0.104901612 6.5192231E-5 1.5538634E-3
0.105032079 6.5273307E-5 1.55386748E-3
0.105162703 6.53544921E-5 1.55387155E-3
0.10529349 6.54357718E-5 1.55387551E-3
0.105424449 6.55171534E-5 1.55387959E-3
0.105555564 6.55986369E-5 1.55388366E-3
0.105686843 6.56802222E-5 1.55388773E-3
0.105818287 6.57619094E-5 1.55389181E-3
0.105949886 6.58436984E-5 1.553896E-3
0.106081657 6.5925582E-5 1.55390007E-3
0.106213592 6.60075748E-5 1.55390415E-3
0.106345691 6.60896694E-5 1.55390834E-3
0.106477953 6.61718659E-5 1.55391241E-3
0.106610373 6.62541643E-5 1.55391661E-3
0.106742963 6.63365645E-5 1.5539208E-3
0.106875725 6.64190666E-5 1.55392499E-3
0.107008643 6.65016705E-5 1.55392906E-3
0.107141726 6.65843763E-5 1.55393325E-3
0.107274979 6.66671913E-5 1.55393756E-3
0.107408397 6.67501008E-5 1.55394175E-3
0.107541978 6.68331195E-5 1.55394594E-3
0.107675731 6.691624E-5 1.55395013E-3
0.107809648 6.69994624E-5 1.55395444E-3
0.107943729 6.70827867E-5 1.55395863E-3
0.108077981 6.71662201E-5 1.55396294E-3
0.108212397 6.72497554E-5 1.55396725E-3
0.108346976 6.73333925E-5 1.55397155E-3
0.108481728 6.74171315E-5 1.55397586E-3
0.108616643 6.75009796E-5 1.55398017E-3
0.108751729 6.75849296E-5 1.55398448E-3
