READ SERR 1
@37.pco
!
0.100062184 6.21847212E-5 0.237840638
0.100186631 6.22620573E-5 0.237840682
0.100311235 6.23394953E-5 0.237840712
0.100435987 6.24170207E-5 0.237840757
0.100560904 6.24946479E-5 0.237840801
0.100685969 6.25723769E-5 0.237840831
0.100811191 6.26501933E-5 0.237840876
0.100936569 6.27281115E-5 0.237840921
0.101062104 6.28061316E-5 0.23784095
0.101187795 6.2884239E-5 0.237840995
0.101313643 6.29624483E-5 0.23784104
0.10143964 6.30407521E-5 0.237841085
0.101565801 6.31191579E-5 0.237841114
0.101692118 6.31976582E-5 0.237841159
0.101818591 6.32762603E-5 0.237841204
0.101945229 6.33549571E-5 0.237841234
0.102072015 6.34337484E-5 0.237841278
0.102198958 6.35126416E-5 0.237841323
0.102326065 6.35916294E-5 0.237841368
0.102453329 6.36707191E-5 0.237841398
0.102580748 6.37499033E-5 0.237841442
0.102708325 6.38291895E-5 0.237841487
0.102836065 6.39085774E-5 0.237841532
0.102963962 6.398806E-5 0.237841561
0.103092015 6.40676371E-5 0.237841606
0.103220232 6.41473234E-5 0.237841651
0.103348605 6.4227097E-5 0.237841696
0.103477143 6.43069798E-5 0.23784174
0.103605837 6.43869571E-5 0.237841785
0.103734687 6.44670363E-5 0.237841815
0.103863701 6.45472101E-5 0.237841859
0.103992879 6.4627493E-5 0.237841904
0.104122214 6.47078632E-5 0.237841949
0.104251713 6.47883426E-5 0.237841994
0.104381368 6.48689165E-5 0.237842038
0.104511186 6.49495996E-5 0.237842068
0.104641162 6.50303773E-5 0.237842113
0.104771309 6.51112496E-5 0.237842157
0.104901612 6.5192231E-5 0.237842202
0.105032079 6.5273307E-5 0.237842247
0.105162703 6.53544921E-5 0.237842292
0.10529349 6.54357718E-5 0.237842336
0.105424449 6.55171534E-5 0.237842381
0.105555564 6.55986369E-5 0.237842426
0.105686843 6.56802222E-5 0.23784247
0.105818287 6.57619094E-5 0.2378425
0.105949886 6.58436984E-5 0.237842545
0.106081657 6.5925582E-5 0.23784259
0.106213592 6.60075748E-5 0.237842634
0.106345691 6.60896694E-5 0.237842679
0.106477953 6.61718659E-5 0.237842724
0.106610373 6.62541643E-5 0.237842768
0.106742963 6.63365645E-5 0.237842813
0.106875725 6.64190666E-5 0.237842858
0.107008643 6.65016705E-5 0.237842903
0.107141726 6.65843763E-5 0.237842947
0.107274979 6.66671913E-5 0.237842992
0.107408397 6.67501008E-5 0.237843037
0.107541978 6.68331195E-5 0.237843081
0.107675731 6.691624E-5 0.237843126
0.107809648 6.69994624E-5 0.237843171
0.107943729 6.70827867E-5 0.23784323
0.108077981 6.71662201E-5 0.237843275
0.108212397 6.72497554E-5 0.23784332
0.108346976 6.73333925E-5 0.237843364
0.108481728 6.74171315E-5 0.237843409
0.108616643 6.75009796E-5 0.237843454
0.108751729 6.75849296E-5 0.237843499
0.108886987 6.76689888E-5 0.237843543
0.109022409 6.77531425E-5 0.237843588
0.109157994 6.78374054E-5 0.237843633
0.109293759 6.79217774E-5 0.237843692
0.109429687 6.80062512E-5 0.237843737
0.10956578 6.80908342E-5 0.237843782
0.109702051 6.81755118E-5 0.237843826
0.109838486 6.82603059E-5 0.237843871
0.109975092 6.83452017E-5 0.237843916
