READ SERR 1
@164/164-14.pco
!
0.100062184 6.21847212E-5 5.36830521
0.100186631 6.22620573E-5 5.36830235
0.100311235 6.23394953E-5 5.36829901
0.100435987 6.24170207E-5 5.36829615
0.100560904 6.24946479E-5 5.36829329
0.100685969 6.25723769E-5 5.36828995
0.100811191 6.26501933E-5 5.36828709
0.100936569 6.27281115E-5 5.36828423
0.101062104 6.28061316E-5 5.36828089
0.101187795 6.2884239E-5 5.36827803
0.101313643 6.29624483E-5 5.36827517
0.10143964 6.30407521E-5 5.36827183
0.101565801 6.31191579E-5 5.36826897
0.101692118 6.31976582E-5 5.36826563
0.101818591 6.32762603E-5 5.36826277
0.101945229 6.33549571E-5 5.36825943
0.102072015 6.34337484E-5 5.36825657
0.102198958 6.35126416E-5 5.36825323
0.102326065 6.35916294E-5 5.36825037
0.102453329 6.36707191E-5 5.36824703
0.102580748 6.37499033E-5 5.36824417
0.102708325 6.38291895E-5 5.36824083
0.102836065 6.39085774E-5 5.3682375
0.102963962 6.398806E-5 5.36823463
0.103092015 6.40676371E-5 5.3682313
0.103220232 6.41473234E-5 5.36822844
0.103348605 6.4227097E-5 5.3682251
0.103477143 6.43069798E-5 5.36822176
0.103605837 6.43869571E-5 5.3682189
0.103734687 6.44670363E-5 5.36821556
0.103863701 6.45472101E-5 5.36821222
0.103992879 6.4627493E-5 5.36820889
0.104122214 6.47078632E-5 5.36820602
0.104251713 6.47883426E-5 5.36820269
0.104381368 6.48689165E-5 5.36819935
0.104511186 6.49495996E-5 5.36819601
0.104641162 6.50303773E-5 5.36819267
0.104771309 6.51112496E-5 5.36818933
0.104901612 6.5192231E-5 5.36818647
0.105032079 6.5273307E-5 5.36818314
0.105162703 6.53544921E-5 5.3681798
0.10529349 6.54357718E-5 5.36817646
0.105424449 6.55171534E-5 5.36817312
0.105555564 6.55986369E-5 5.36816978
0.105686843 6.56802222E-5 5.36816645
0.105818287 6.57619094E-5 5.36816311
0.105949886 6.58436984E-5 5.36815977
0.106081657 6.5925582E-5 5.36815643
0.106213592 6.60075748E-5 5.3681531
0.106345691 6.60896694E-5 5.36814976
0.106477953 6.61718659E-5 5.36814642
0.106610373 6.62541643E-5 5.36814308
0.106742963 6.63365645E-5 5.36813974
0.106875725 6.64190666E-5 5.36813641
0.107008643 6.65016705E-5 5.36813259
0.107141726 6.65843763E-5 5.36812925
0.107274979 6.66671913E-5 5.36812592
0.107408397 6.67501008E-5 5.36812258
0.107541978 6.68331195E-5 5.36811924
0.107675731 6.691624E-5 5.36811543
0.107809648 6.69994624E-5 5.36811209
0.107943729 6.70827867E-5 5.36810875
0.108077981 6.71662201E-5 5.36810541
0.108212397 6.72497554E-5 5.3681016
0.108346976 6.73333925E-5 5.36809826
0.108481728 6.74171315E-5 5.36809492
0.108616643 6.75009796E-5 5.36809111
0.108751729 6.75849296E-5 5.36808777
0.108886987 6.76689888E-5 5.36808443
0.109022409 6.77531425E-5 5.36808062
0.109157994 6.78374054E-5 5.36807728
0.109293759 6.79217774E-5 5.36807346
0.109429687 6.80062512E-5 5.36807013
0.10956578 6.80908342E-5 5.36806631
0.109702051 6.81755118E-5 5.36806297
0.109838486 6.82603059E-5 5.36805916
0.109975092 6.83452017E-5 5.36805582
0.110111862 6.84301995E-5 5.36805201
0.110248812 6.85153063E-5 5.36804867
0.110385925 6.86005151E-5 5.36804485
0.110523216 6.8685833E-5 5.36804104
0.110660672 6.877126E-5 5.3680377
0.110798299 6.88567889E-5 5.36803389
0.110936098 6.89424269E-5 5.36803007
0.111074068 6.9028174E-5 5.36802673
0.111212209 6.91140231E-5 5.36802292
0.111350521 6.91999812E-5 5.3680191
0.111489013 6.92860413E-5 5.36801529
0.111627668 6.93722104E-5 5.36801195
0.111766502 6.94584887E-5 5.36800814
0.1119055 6.95448762E-5 5.36800432
0.112044677 6.96313655E-5 5.36800051
0.112184025 6.97179712E-5 5.36799669
0.112323552 6.98046788E-5 5.36799335
0.112463243 6.98914882E-5 5.36798954
0.112603113 6.99784141E-5 5.36798573
0.112743162 7.00654491E-5 5.36798191
0.112883382 7.0152586E-5 5.3679781
0.113023773 7.0239832E-5 5.36797428
0.113164335 7.03271944E-5 5.36797047
0.113305077 7.04146587E-5 5.36796665
0.113445997 7.05022321E-5 5.36796284
0.113587089 7.05899147E-5 5.36795902
0.113728359 7.06777064E-5 5.36795521
0.113869801 7.07656072E-5 5.36795139
0.114011422 7.08536172E-5 5.36794758
0.114153214 7.09417363E-5 5.36794329
0.114295185 7.10299719E-5 5.36793947
0.114437334 7.11183093E-5 5.36793566
0.114579663 7.12067558E-5 5.36793184
0.114722162 7.12953188E-5 5.36792803
0.114864841 7.13839909E-5 5.36792374
0.115007699 7.14727648E-5 5.36791992
0.115150735 7.15616552E-5 5.36791611
0.115293942 7.1650662E-5 5.36791229
0.115437336 7.17397706E-5 5.367908
0.115580902 7.18289957E-5 5.36790419
0.115724653 7.19183226E-5 5.36790037
0.115868576 7.20077733E-5 5.36789608
0.116012685 7.20973258E-5 5.36789227
0.116156965 7.21869947E-5 5.36788797
